FIGURE,CANONICAL_RUN,PROVENANCE_STATUS,WIDTH_PX,HEIGHT_PX,PIXEL_SHA256,PNG_SHA256,TIFF_SHA256
FIG01,run_PED_corrected_20260910_071523,RE_EXPORTED_NUMERICALLY_UNCHANGED_RAW_LOGS_AND_MASKS,4143,5033,ca56d3ec4809120162804910119dcdabfd074e23a1dc569a2f138556a1d9e523,0fbfcf8a911e125a21d02a82c472ee71f45ba98d2e09d766003a74f617785c55,6833ceb29c0c8279d203bbf020e09d74590aff7b158494d91bfbacbbb9eddc0f
FIG02,run_PED_corrected_20260910_071523,REGENERATED_FROM_CORRECTED_MODEL_OUTPUTS,2507,1953,38c145fd8df4c966c137d04e653da1ff5735caee2920aa5479594e006af96795,aab313ae48394dc192eebad0d7b923dd3d97d384e488ff4eb34a32f30d0949f9,534ba16a9da7cb7a874d716b97a6a0d9117bc0108e153d1da96b6f4f6961c231
FIG03,run_PED_corrected_20260910_071523,REGENERATED_FROM_CORRECTED_MODEL_OUTPUTS,2984,1438,e69caaea2940ab4056f49820c30e53a2b80dd6bdb404d217b388201637e2b2f9,3cdc726772e473d1609554baf9c891afafe15706a1dacb044a96dc3b241edf87,259256c4b8e63e8c92a49e7db4824d8b687f807895346b2e990b59a83ac497c8
FIG04,run_PED_corrected_20260910_071523,REGENERATED_FROM_CORRECTED_MODEL_OUTPUTS,3037,1422,f72bed04def1ba3ef4d37e54de924ae01e236ddbad792865619e5af0ad2f392a,832e56bd847fc0ebaff848b850496c2862971f1afad4f1eadea26b7255509912,5f8fcce27d905031b87ae2d5aad87da9f418981b5f34309f7731bd298db2de77
FIG05,run_PED_corrected_20260910_071523,REGENERATED_FROM_CORRECTED_MODEL_OUTPUTS,2984,1201,ee4b7308950b9fe52c886a963ca61b26f44f1842a51e399d952e086c6c594c80,3b6b8ab8ecdbbbb6f4d93785ba1fe226690d0e7e437a377e9d8092610c1d4585,3ec75630ec9ee41bf2be3a07122ceff25c02755606bde22856b1905556352803
FIG06,run_PED_corrected_20260910_071523,REGENERATED_FROM_CORRECTED_MODEL_OUTPUTS,3335,1401,5dc81aece4e88d9cf7be557e9257f995f98b64843fdb33e669dbf4f6404a2f1b,87d33f89593858a36a45cdcec2b3056617c2d0bc9f3722098d238025d1d70d02,caa2c2d4e72cf1c5d4b8e88197e1128cdf65ebbeb5df7ceaa4f0e897e2b1f00c
FIG07,run_PED_corrected_20260910_071523,RE_EXPORTED_NUMERICALLY_UNCHANGED_DISTRIBUTION_SHIFT,3836,2795,056bd74c88f4946fad7ef4d822d33c6fd8b2626b346e492379d3d57d78147c05,cbf635db26157fb270bcdd488006e713bde52a487983df12887ffdbef100c626,e7db8fe015aef417a1c6b441487a1e6c8b50b50827775c47bc6bb7740f2c2a0f
FIG08,run_PED_corrected_20260910_071523,REGENERATED_FROM_CORRECTED_MODEL_OUTPUTS,2983,1426,185f68acff3fd45342888b98701d8289b289fc2b74887aba3d3d4edf6c76189a,1f1f5c5474c6968ce6d55f39cb8c3dc11c4561cb5660eb1551521e2e24ed8847,ae9a6487196547cf06b3e380258947fd3c1861af8c006e18ddf776ed1fc6efc2
FIGS1,run_PED_corrected_20260910_071523,RE_EXPORTED_NUMERICALLY_UNCHANGED_POPULATION_MASKS,1398,575,41b515a2370e015f7b824f04e29a8b436807faabe03c4eb10256286a1ded153e,6ae76dc55af2704ca0feb6171bc7510f014ef6ff93b2d1c65cd2fa89c69b1b78,97fb9a3ada98dc4ecf94405fa93f844962b3386b90a8990e3cd2e5bcf1554484
FIGS2,run_PED_corrected_20260910_071523,REGENERATED_FROM_CORRECTED_MULTISEED_OUTPUTS,2648,1298,a6874a3931d7320aa73c36c78c91ca127c9f40a8e6dab0a119f3a9afd998d349,12b4f15bfd447659060adf8a20e5d246cd42136e6ca4a8da6c9eb2c24a1e5ef1,9b5f015d15936d1fae0a8042abfbecfd28a39fee440128671780413d80a2d420
