BASE_SEED,MODEL,DERIVED_SEED,FOLD_ID
42,pnn,1010143,101
42,mlffnn,1010243,101
42,dffnn,1010343,101
42,cnn1d,1010443,101
42,pnn,1020143,102
42,mlffnn,1020243,102
42,dffnn,1020343,102
42,cnn1d,1020443,102
42,pnn,1030143,103
42,mlffnn,1030243,103
42,dffnn,1030343,103
42,cnn1d,1030443,103
42,pnn,1040143,104
42,mlffnn,1040243,104
42,dffnn,1040343,104
42,cnn1d,1040443,104
42,pnn,10143,1
42,mlffnn,10243,1
42,dffnn,10343,1
42,cnn1d,10443,1
42,pnn,2010143,201
42,mlffnn,2010243,201
42,dffnn,2010343,201
42,cnn1d,2010443,201
42,pnn,2020143,202
42,mlffnn,2020243,202
42,dffnn,2020343,202
42,cnn1d,2020443,202
42,pnn,2030143,203
42,mlffnn,2030243,203
42,dffnn,2030343,203
42,cnn1d,2030443,203
42,pnn,2040143,204
42,mlffnn,2040243,204
42,dffnn,2040343,204
42,cnn1d,2040443,204
42,pnn,20143,2
42,mlffnn,20243,2
42,dffnn,20343,2
42,cnn1d,20443,2
42,pnn,3010143,301
42,mlffnn,3010243,301
42,dffnn,3010343,301
42,cnn1d,3010443,301
42,pnn,3020143,302
42,mlffnn,3020243,302
42,dffnn,3020343,302
42,cnn1d,3020443,302
42,pnn,3030143,303
42,mlffnn,3030243,303
42,dffnn,3030343,303
42,cnn1d,3030443,303
42,pnn,3040143,304
42,mlffnn,3040243,304
42,dffnn,3040343,304
42,cnn1d,3040443,304
42,pnn,30143,3
42,mlffnn,30243,3
42,dffnn,30343,3
42,cnn1d,30443,3
42,pnn,4010143,401
42,mlffnn,4010243,401
42,dffnn,4010343,401
42,cnn1d,4010443,401
42,pnn,4020143,402
42,mlffnn,4020243,402
42,dffnn,4020343,402
42,cnn1d,4020443,402
42,pnn,4030143,403
42,mlffnn,4030243,403
42,dffnn,4030343,403
42,cnn1d,4030443,403
42,pnn,4040143,404
42,mlffnn,4040243,404
42,dffnn,4040343,404
42,cnn1d,4040443,404
42,pnn,40143,4
42,mlffnn,40243,4
42,dffnn,40343,4
42,cnn1d,40443,4
42,pnn,5010143,501
42,mlffnn,5010243,501
42,dffnn,5010343,501
42,cnn1d,5010443,501
42,pnn,5020143,502
42,mlffnn,5020243,502
42,dffnn,5020343,502
42,cnn1d,5020443,502
42,pnn,5030143,503
42,mlffnn,5030243,503
42,dffnn,5030343,503
42,cnn1d,5030443,503
42,pnn,5040143,504
42,mlffnn,5040243,504
42,dffnn,5040343,504
42,cnn1d,5040443,504
42,pnn,50143,5
42,mlffnn,50243,5
42,dffnn,50343,5
42,cnn1d,50443,5
110042,pnn,120143,1
110042,mlffnn,120243,1
110042,dffnn,120343,1
110042,cnn1d,120443,1
120042,pnn,140143,2
120042,mlffnn,140243,2
120042,dffnn,140343,2
120042,cnn1d,140443,2
130042,pnn,160143,3
130042,mlffnn,160243,3
130042,dffnn,160343,3
130042,cnn1d,160443,3
140042,pnn,180143,4
140042,mlffnn,180243,4
140042,dffnn,180343,4
140042,cnn1d,180443,4
150042,pnn,200143,5
150042,mlffnn,200243,5
150042,dffnn,200343,5
150042,cnn1d,200443,5
90042,pnn,90143,0
90042,mlffnn,90243,0
90042,dffnn,90343,0
90042,cnn1d,90443,0
110007,pnn,120108,1
110007,mlffnn,120208,1
110007,dffnn,120308,1
110007,cnn1d,120408,1
120007,pnn,140108,2
120007,mlffnn,140208,2
120007,dffnn,140308,2
120007,cnn1d,140408,2
130007,pnn,160108,3
130007,mlffnn,160208,3
130007,dffnn,160308,3
130007,cnn1d,160408,3
140007,pnn,180108,4
140007,mlffnn,180208,4
140007,dffnn,180308,4
140007,cnn1d,180408,4
150007,pnn,200108,5
150007,mlffnn,200208,5
150007,dffnn,200308,5
150007,cnn1d,200408,5
90007,pnn,90108,0
90007,mlffnn,90208,0
90007,dffnn,90308,0
90007,cnn1d,90408,0
110042,pnn,120143,1
110042,mlffnn,120243,1
110042,dffnn,120343,1
110042,cnn1d,120443,1
120042,pnn,140143,2
120042,mlffnn,140243,2
120042,dffnn,140343,2
120042,cnn1d,140443,2
130042,pnn,160143,3
130042,mlffnn,160243,3
130042,dffnn,160343,3
130042,cnn1d,160443,3
140042,pnn,180143,4
140042,mlffnn,180243,4
140042,dffnn,180343,4
140042,cnn1d,180443,4
150042,pnn,200143,5
150042,mlffnn,200243,5
150042,dffnn,200343,5
150042,cnn1d,200443,5
90042,pnn,90143,0
90042,mlffnn,90243,0
90042,dffnn,90343,0
90042,cnn1d,90443,0
110123,pnn,120224,1
110123,mlffnn,120324,1
110123,dffnn,120424,1
110123,cnn1d,120524,1
120123,pnn,140224,2
120123,mlffnn,140324,2
120123,dffnn,140424,2
120123,cnn1d,140524,2
130123,pnn,160224,3
130123,mlffnn,160324,3
130123,dffnn,160424,3
130123,cnn1d,160524,3
140123,pnn,180224,4
140123,mlffnn,180324,4
140123,dffnn,180424,4
140123,cnn1d,180524,4
150123,pnn,200224,5
150123,mlffnn,200324,5
150123,dffnn,200424,5
150123,cnn1d,200524,5
90123,pnn,90224,0
90123,mlffnn,90324,0
90123,dffnn,90424,0
90123,cnn1d,90524,0
