CHECK,STATUS,DETAIL,RUN_1,RUN_2
Config hash identical,PASS,,run_20260903_130116,run_20260903_155408
MATLAB version identical,PASS,,run_20260903_130116,run_20260903_155408
Well-A data hash identical,PASS,,run_20260903_130116,run_20260903_155408
Well-B data hash identical,PASS,,run_20260903_130116,run_20260903_155408
n_popA identical,PASS,329 vs 329,run_20260903_130116,run_20260903_155408
n_popB identical,PASS,236 vs 236,run_20260903_130116,run_20260903_155408
n_dev identical,PASS,392 vs 392,run_20260903_130116,run_20260903_155408
n_hold identical,PASS,100 vs 100,run_20260903_130116,run_20260903_155408
Outer fold hash identical,PASS,,run_20260903_130116,run_20260903_155408
Canon HP lambda identical,PASS,,run_20260903_130116,run_20260903_155408
Canon HP hash identical,PASS,,run_20260903_130116,run_20260903_155408
Pop-A R2 identical (tol=1e-04),PASS,-2.616154 vs -2.616154,run_20260903_130116,run_20260903_155408
Pop-A RMSE identical (tol=1e-04),PASS,0.411540 vs 0.411540,run_20260903_130116,run_20260903_155408
Pop-A BIAS identical (tol=1e-04),PASS,0.369943 vs 0.369943,run_20260903_130116,run_20260903_155408
Pop-A MAE identical (tol=1e-04),PASS,0.372769 vs 0.372769,run_20260903_130116,run_20260903_155408
Pop-B R2 identical (tol=1e-04),PASS,-5.270850 vs -5.270850,run_20260903_130116,run_20260903_155408
Pop-B RMSE identical (tol=1e-04),PASS,0.462477 vs 0.462477,run_20260903_130116,run_20260903_155408
Pop-B BIAS identical (tol=1e-04),PASS,0.433864 vs 0.433864,run_20260903_130116,run_20260903_155408
Pop-B MAE identical (tol=1e-04),PASS,0.433864 vs 0.433864,run_20260903_130116,run_20260903_155408
Prediction vector length identical,PASS,,run_20260903_130116,run_20260903_155408
Prediction values identical (tol=1e-04),PASS,max diff=0.00e+00,run_20260903_130116,run_20260903_155408
DR Pop-A R² identical,PASS,,run_20260903_130116,run_20260903_155408
DR Pop-B R² identical,PASS,,run_20260903_130116,run_20260903_155408
DR status POST_HOC_SENSITIVITY,PASS,,run_20260903_130116,run_20260903_155408
Geomech N_ALL_OK identical,PASS,,run_20260903_130116,run_20260903_155408
Provenance class V5_CORRECTED_REANALYSIS,PASS,,run_20260903_130116,run_20260903_155408
GATE_0 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_1 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_2 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_3 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_4 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_5 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_6 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_7 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_8 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_9 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_10 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_11 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_12 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_13 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_14 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_15 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_16 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
GATE_17 PASS in both runs,PASS,,run_20260903_130116,run_20260903_155408
